2026-07-09 22:50:13,622 | INFO | ai_email | Checking sent mail for satshop19@gmail.com
2026-07-09 22:50:26,799 | INFO | ai_email | Duplicate skipped: <CAJ12SBFj3mH2j15DJP3G4ShHSLUh9Q9gNSOMzMV+rpEYyxWzuQ@mail.gmail.com>
2026-07-09 22:50:27,198 | INFO | ai_email | Duplicate skipped: <CAJ12SBFWPHdXy1v111Ug7LJXyhRufQL5fNiuFt_orWNmUT0RRA@mail.gmail.com>
2026-07-09 22:50:29,508 | INFO | ai_email | Duplicate skipped: <CAJ12SBFesyYjAq5nndnqxa3Z69nmR4mQv7Wbae3mCGie9JrUYA@mail.gmail.com>
2026-07-09 22:50:31,183 | INFO | ai_email | Duplicate skipped: <CAJ12SBGE4O+p9AMCvJFuyLnK-9EZ6EbMhRBO7Q9MhnJqBv5JYQ@mail.gmail.com>
2026-07-09 22:50:32,211 | INFO | ai_email | Duplicate skipped: <CAJ12SBGU3utcZ=ZhO6QabMJtZ2uJntt8cd+tF3gTcxgS6L-gxQ@mail.gmail.com>
2026-07-09 22:50:33,287 | INFO | ai_email | Duplicate skipped: <CAJ12SBEDUrmRq1xjwrLWPO=W3c2s=UPBFeBzpRCC0uCKMEji=w@mail.gmail.com>
2026-07-09 22:50:34,004 | INFO | ai_email | Duplicate skipped: <CAJ12SBEYHYsB1jppHZDhUxH34xEmcrg4muChN4ztudXRpu7i7w@mail.gmail.com>
2026-07-09 22:50:34,618 | INFO | ai_email | Duplicate skipped: <CAJ12SBHS7KcNanTQ9VxnrJt6X0wJVN-hM_7aL-fCCQAaassS6A@mail.gmail.com>
2026-07-09 22:50:35,373 | INFO | ai_email | Duplicate skipped: <CAJ12SBGDAuDY2FSfkBqigbBJbO_cWQspgf4C=vqhLPX-k51Sgg@mail.gmail.com>
2026-07-09 22:50:36,080 | INFO | ai_email | Duplicate skipped: <CAJ12SBFh4KUtVs-QzQGQV0-A9MJtJ-iudf26kR2o-wkisiiBPw@mail.gmail.com>
2026-07-09 22:50:36,081 | INFO | ai_email | satshop19@gmail.com sync complete. Imported=0, Skipped=10
2026-07-10 12:09:01,074 | INFO | ai_email | Checking sent mail for satshop19@gmail.com
2026-07-10 12:09:03,901 | INFO | ai_email | Duplicate skipped: <CAJ12SBEYHYsB1jppHZDhUxH34xEmcrg4muChN4ztudXRpu7i7w@mail.gmail.com>
2026-07-10 12:09:04,299 | INFO | ai_email | Duplicate skipped: <CAJ12SBHS7KcNanTQ9VxnrJt6X0wJVN-hM_7aL-fCCQAaassS6A@mail.gmail.com>
2026-07-10 12:09:04,619 | INFO | ai_email | Duplicate skipped: <CAJ12SBGDAuDY2FSfkBqigbBJbO_cWQspgf4C=vqhLPX-k51Sgg@mail.gmail.com>
2026-07-10 12:09:04,969 | INFO | ai_email | Duplicate skipped: <CAJ12SBFh4KUtVs-QzQGQV0-A9MJtJ-iudf26kR2o-wkisiiBPw@mail.gmail.com>
2026-07-10 12:09:05,370 | INFO | ai_email | Thread linked: <CAJ12SBFUXo6YgvG2RcyFZbv=SmxDx6wXmKawpXR5W+cO+5v6aQ@mail.gmail.com> -> <CALFiiLZNfo5ZFacYj9Cw16bC2hK865KANuU5PtcgoMoAXG0ZUA@mail.gmail.com>
2026-07-10 12:09:05,381 | INFO | ai_email | Imported: <CAJ12SBFUXo6YgvG2RcyFZbv=SmxDx6wXmKawpXR5W+cO+5v6aQ@mail.gmail.com>
2026-07-10 12:09:06,150 | INFO | ai_email | Thread linked: <CAJ12SBH4rFL8==5BCuarJmHkGWwM6aKoCthQst8kLD_De-ZbLA@mail.gmail.com> -> <CALFiiLZT-2CrB+1L4TZMiu5HdMWHgCymxeDmz8g-L3K0f5Bpzg@mail.gmail.com>
2026-07-10 12:09:06,155 | INFO | ai_email | Imported: <CAJ12SBH4rFL8==5BCuarJmHkGWwM6aKoCthQst8kLD_De-ZbLA@mail.gmail.com>
2026-07-10 12:09:06,872 | INFO | ai_email | New thread: <CAJ12SBGzZDO7yLW5avvj2xv9_zU9_Z12bFnnCzNArZMen4PazQ@mail.gmail.com>
2026-07-10 12:09:06,873 | INFO | ai_email | Imported: <CAJ12SBGzZDO7yLW5avvj2xv9_zU9_Z12bFnnCzNArZMen4PazQ@mail.gmail.com>
2026-07-10 12:09:07,571 | INFO | ai_email | Thread linked: <CAJ12SBHSc7K+nTPFUSoDZm91nWGC+BfwuzUwzYV56C3rnXhWAw@mail.gmail.com> -> <CALFiiLZRUgiNPXob=PMX=jazz3E6EwuURTOS=g5V6gJjziLOpA@mail.gmail.com>
2026-07-10 12:09:07,580 | INFO | ai_email | Imported: <CAJ12SBHSc7K+nTPFUSoDZm91nWGC+BfwuzUwzYV56C3rnXhWAw@mail.gmail.com>
